^SAMPLE = GSM154769
36566_at	316.06494	0.014936566
36612_at	122.82846	0.004180312
36711_at	667.3834	2.1886826E-4
36742_at	86.82238	0.09805411
36829_at	495.74515	0.001755178
36830_at	502.55673	0.0011410713
36865_at	159.98636	0.10730094
36888_at	453.7657	0.0056427717
36907_at	851.7313	0.043967783
36920_at	105.061005	0.002616942
36936_at	1884.587	8.046031E-4
36994_at	3088.2253	6.1249733E-4
37004_at	13.824235	0.6604422
37005_at	2972.8247	2.655983E-4
37012_at	2923.1284	2.655983E-4
37020_at	6.9852247	0.93313503
37022_at	457.5696	0.06041932
37028_at	440.25967	0.0056427717
37079_at	90.283615	0.024710953
37117_at	103.51295	0.15052712
37145_at	24.804008	0.6604422
37152_at	466.15002	0.13876516
37170_at	44.097023	0.017000496
37201_at	139.54678	0.09805411
37226_at	174.1882	0.0115478635
37232_at	112.047264	0.024710953
37254_at	423.4566	8.046031E-4
37278_at	226.46402	0.08133668
37384_at	447.63205	0.01144737
37408_at	872.1542	0.004180312
37424_at	114.4773	0.0037990808
37425_g_at	78.20948	0.1171605
37433_at	82.573494	0.0193035
37462_i_at	296.6826	0.06647867
37512_at	106.40871	0.0035848618
37547_at	68.43818	0.2189833
37549_g_at	214.52083	0.002227664
37566_at	10.650346	0.41806936
37577_at	139.31076	0.0035848618
37586_at	220.85562	0.027859688
37590_g_at	326.89096	0.002616942
37652_at	237.1975	0.01144737
37793_r_at	230.77902	0.008689165
37796_at	340.05875	0.20402211
37802_r_at	31.571592	0.007542908
37831_at	352.12177	0.089405
37860_at	424.52026	0.002227664
37872_at	235.42659	0.07383013
37892_at	424.79764	0.002227664
37943_at	162.31195	0.002616942
37950_at	192.06238	0.0013538599
37953_s_at	40.907246	0.45881575
37965_at	304.21436	0.024710953
37966_at	304.7184	0.0193035
37986_at	49.302185	0.03936541
37996_s_at	252.14061	0.0035848618
38037_at	94.57654	0.17598945
38043_at	339.56015	0.18968731
38069_at	230.20763	0.06686497
38149_at	172.931	0.13876516
38157_at	53.576736	0.4793803
38158_at	247.19905	0.09805411
38241_at	143.1745	3.2150745E-4
38269_at	689.4788	0.0011410713
38290_at	281.36127	0.008689165
38340_at	838.0556	0.01144737
38398_at	512.623	0.01144737
38447_at	675.51825	0.035162866
38487_at	674.95703	0.01144737
38521_at	112.64469	0.4793803
38671_at	932.8585	0.009985447
38691_s_at	274.51413	0.2674626
38703_at	888.36957	5.617142E-4
38707_r_at	1634.9235	0.23455656
38710_at	1947.0748	2.655983E-4
38766_at	278.47156	0.008529365
38892_at	428.06384	2.655983E-4
38918_at	140.18623	0.007542908
38964_r_at	718.29785	0.009938955
39248_at	7598.5303	2.4414062E-4
39249_at	1492.3601	0.0048627853
39313_at	44.70623	0.04899466
39318_at	137.05975	0.13876516
39402_at	209.28145	0.12764525
39548_at	124.99287	0.02186644
39549_at	66.04131	0.003066659
39582_at	273.02124	4.9352646E-4
39650_s_at	139.84587	0.01144737
396_f_at	1224.7837	0.080566406
39705_at	212.73149	0.06686497
39729_at	2953.3267	2.1886826E-4
39763_at	57.90317	0.56163913
39817_s_at	856.0314	0.0035848618
39835_at	217.52728	0.17598945
39854_r_at	577.8628	0.31888336
39891_at	125.7993	0.013091803
